cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,homing,,,,,,,,
1.2,55,55,55,homing,,,,,,,,
1.2,55,55,55,homing,,,,,,,,
1.2,55,55,55,homing,,,,,,,,
1.2,55,55,55,homing,,,,,45:48.8,16.5,0.154,233.1
1.2,55,55,55,homing,,,,,45:49.6,16.291,0.154,233.1
1.2,55,55,55,homing,,,,,45:50.3,16.158,0.154,233.1
1.2,55,55,55,homing,,,,,45:52.0,16.31,0.155,231.2
1.2,55,55,55,homing,,,,,45:52.8,16.31,0.155,231.2
1.2,55,55,55,homing,,,,,45:53.6,16.31,0.153,231.2
1.2,55,55,55,homing,,,,,45:54.3,16.272,0.153,233.1
1.2,55,55,55,homing,,,,,45:56.0,16.291,0.155,233.1
1.2,55,55,55,homing,,,,,45:56.8,16.614,0.155,233.1
1.2,55,55,55,homing,,,,,45:57.6,16.747,0.156,233.1
1.2,55,55,55,homing,,,,,45:58.4,16.747,0.156,233.1
1.2,55,55,55,homing,,,,,45:59.9,16.519,0.154,233.1
1.2,55,55,55,homing,,,,,46:00.7,16.519,0.154,231.2
1.2,55,55,55,homing,,,,,46:01.5,16.31,0.154,231.2
1.2,55,55,55,homing,,,,,46:02.3,16.31,0.153,231.2
1.2,55,55,55,homing,,,,,46:03.9,16.196,0.153,233.1
1.2,55,55,55,homing,,,,,46:04.8,16.196,0.151,233.1
1.2,55,55,55,homing,,,,,46:05.6,16.31,0.151,233.1
1.2,55,55,55,homing,,,,,46:06.4,16.519,0.151,233.1
1.2,55,55,55,moving_belt,nothing,FALSE,TRUE,,46:07.8,17.127,0.158,231.2
1.2,55,55,55,moving_belt,nothing,FALSE,TRUE,,46:08.6,17.26,0.158,231.2
1.2,55,55,55,moving_belt,nothing,FALSE,TRUE,,46:09.4,17.26,0.158,231.2
1.2,55,55,55,moving_belt,nothing,FALSE,TRUE,,46:10.2,16.747,0.158,233.1
1.2,55,55,55,moving_belt,nothing,FALSE,TRUE,,46:11.9,16.747,0.156,233.1
1.2,55,55,55,go_to_pick_down,nothing,TRUE,FALSE,,46:12.7,16.633,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,TRUE,46:13.6,16.063,0.152,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,TRUE,46:14.4,16.063,0.152,233.1
1.2,55,55,55,go_to_color_detect_up,nothing,TRUE,FALSE,TRUE,46:15.9,22.823,0.207,233.1
1.2,55,55,55,go_to_color_detect_up,nothing,TRUE,FALSE,TRUE,46:16.7,22.88,0.207,233.1
1.2,55,55,55,go_to_color_detect_up,nothing,TRUE,FALSE,TRUE,46:17.6,22.804,0.205,233.1
1.2,55,55,55,go_to_color_detect_down,nothing,TRUE,FALSE,TRUE,46:18.4,22.709,0.205,233.1
1.2,55,55,55,go_to_color_detect_down,nothing,TRUE,FALSE,TRUE,46:19.9,22.064,0.197,233.1
1.2,55,55,55,go_to_color_detect_up,nothing,TRUE,FALSE,FALSE,46:20.7,22.064,0.197,233.1
1.2,55,55,55,go_to_color_detect_up,nothing,TRUE,FALSE,FALSE,46:21.6,18.646,0.154,233.1
1.2,55,55,55,detecting_color,nothing,FALSE,FALSE,FALSE,46:22.2,16.481,0.154,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,46:23.8,15.665,0.147,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,46:24.5,15.722,0.147,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,46:25.2,15.722,0.147,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,46:26.8,23.241,0.162,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,46:27.6,22.652,0.162,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,46:28.5,22.652,0.2,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,46:29.3,22.462,0.2,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,46:31.0,22.842,0.205,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,46:31.8,22.121,0.205,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,46:32.6,22.158,0.202,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,46:33.5,19.614,0.202,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,46:34.3,16.785,0.202,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,46:35.8,16.405,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,46:36.6,16.405,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,46:37.4,16.538,0.155,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,46:38.2,16.5,0.155,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,46:40.0,16.576,0.157,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,46:40.8,16.538,0.157,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,46:41.6,16.272,0.155,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,46:42.5,16.272,0.155,233.1
1.2,55,55,55,go_to_pick_down,red,TRUE,FALSE,FALSE,46:44.0,16.671,0.155,233.1
1.2,55,55,55,go_to_pick_down,red,TRUE,FALSE,FALSE,46:44.8,16.671,0.155,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,red,TRUE,FALSE,TRUE,46:45.7,16.158,0.152,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,46:46.3,23.412,0.152,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,46:48.0,22.785,0.206,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,46:48.8,22.785,0.206,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,46:49.6,22.595,0.206,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,46:50.3,22.614,0.204,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,46:52.0,22.064,0.199,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,46:52.8,16.329,0.199,233.1
1.2,55,55,55,detecting_color,red,FALSE,FALSE,FALSE,46:53.8,16.329,0.199,233.1
1.2,55,55,55,detecting_color,red,FALSE,FALSE,FALSE,46:54.6,16.31,0.154,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,FALSE,46:55.5,15.854,0.154,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,FALSE,46:56.3,15.854,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,46:57.9,17.81,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,46:58.7,22.918,0.208,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,TRUE,46:59.6,22.329,0.208,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,TRUE,47:00.4,22.69,0.208,233.1
1.2,55,55,55,go_to_green_down,green,TRUE,FALSE,TRUE,47:02.0,22.671,0.207,233.1
1.2,55,55,55,go_to_green_down,green,TRUE,FALSE,TRUE,47:02.8,22.196,0.199,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,FALSE,47:03.7,22.215,0.199,233.1
1.2,55,55,55,go_to_green_up,green,TRUE,FALSE,FALSE,47:04.5,19.5,0.199,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,47:06.0,17.07,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,47:06.8,16.386,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,47:07.7,16.5,0.157,233.1
1.2,55,55,55,go_to_pick_up_from_green,green,TRUE,FALSE,FALSE,47:08.5,16.5,0.157,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,47:09.9,16.804,0.158,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,47:10.6,16.652,0.158,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,47:11.3,16.557,0.155,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,47:13.0,16.424,0.155,233.1
1.2,55,55,55,moving_belt,green,FALSE,TRUE,FALSE,47:13.8,16.158,0.153,233.1
1.2,55,55,55,go_to_pick_down,green,TRUE,FALSE,FALSE,47:14.7,16.158,0.153,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,green,TRUE,FALSE,TRUE,47:15.4,16.31,0.153,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,47:16.8,22.994,0.154,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,47:17.7,22.994,0.154,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,TRUE,47:18.5,22.614,0.205,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,TRUE,47:19.3,22.728,0.205,233.1
1.2,55,55,55,go_to_color_detect_down,green,TRUE,FALSE,TRUE,47:20.9,22.557,0.205,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,FALSE,47:21.8,22.026,0.205,233.1
1.2,55,55,55,go_to_color_detect_up,green,TRUE,FALSE,FALSE,47:22.6,21.874,0.204,233.1
1.2,55,55,55,detecting_color,green,FALSE,FALSE,FALSE,47:23.5,21.874,0.204,233.1
1.2,55,55,55,detecting_color,green,FALSE,FALSE,FALSE,47:24.2,16.823,0.155,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,47:25.8,16.291,0.155,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,47:26.6,16.177,0.152,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,47:27.4,16.253,0.152,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,47:28.2,23.222,0.152,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,47:29.9,23.089,0.209,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,47:30.7,22.329,0.208,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,47:31.4,23.013,0.208,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,47:32.8,22.956,0.209,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,47:33.5,22.462,0.209,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,47:35.0,22.329,0.203,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,47:35.8,21.95,0.203,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:36.6,17.222,0.203,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:37.4,17.222,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:38.9,17.222,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:39.6,17.222,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:40.4,16.804,0.159,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,47:41.9,17.013,0.159,233.1
