dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-09-30 17:20:27.311062,16.557,0.15,238.7
homing,,,,homing,,2023-09-30 17:20:28.131610,16.557,0.15,238.7
homing,,,,homing,,2023-09-30 17:20:28.834310,16.367,0.149,238.7
homing,,,,homing,,2023-09-30 17:20:30.389784,16.614,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:31.205908,16.671,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:31.943982,16.538,0.149,238.7
homing,,,,homing,,2023-09-30 17:20:32.650026,16.538,0.149,238.7
homing,,,,homing,,2023-09-30 17:20:33.663457,16.614,0.149,238.7
homing,,,,homing,,2023-09-30 17:20:35.218937,16.766,0.149,238.7
homing,,,,homing,,2023-09-30 17:20:36.019188,16.88,0.151,238.7
homing,,,,homing,,2023-09-30 17:20:36.836282,16.652,0.151,238.7
homing,,,,homing,,2023-09-30 17:20:38.416320,16.671,0.151,236.8
homing,,,,homing,,2023-09-30 17:20:39.191253,16.462,0.151,236.8
homing,,,,homing,,2023-09-30 17:20:40.008633,16.462,0.148,236.8
homing,,,,homing,,2023-09-30 17:20:40.829384,16.519,0.148,236.8
homing,,,,homing,,2023-09-30 17:20:41.685132,16.329,0.148,236.8
homing,,,,homing,,2023-09-30 17:20:43.290583,16.481,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:44.107077,16.272,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:44.933943,16.272,0.147,236.8
homing,,,,homing,,2023-09-30 17:20:45.755477,16.234,0.147,238.7
homing,,,,homing,,2023-09-30 17:20:46.575873,16.234,0.147,238.7
homing,,,,homing,,2023-09-30 17:20:48.094329,16.253,0.147,238.7
homing,,,,homing,,2023-09-30 17:20:48.919128,16.196,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:49.741041,16.196,0.149,236.8
homing,,,,homing,,2023-09-30 17:20:51.374956,16.348,0.148,236.8
homing,,,,homing,,2023-09-30 17:20:52.194722,16.538,0.148,238.7
homing,nothing,false,true,homing,,2023-09-30 17:20:52.194722,16.538,0.148,238.7
homing,nothing,false,true,homing,,2023-09-30 17:20:54.331165,16.937,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:20:54.331165,16.937,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:20:55.978526,16.804,0.15,236.8
homing,nothing,false,true,homing,,2023-09-30 17:20:56.698027,16.785,0.15,236.8
