dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-09-29 16:38:48.347819,16.329,0.149,236.8
homing,,,,homing,,2023-09-29 16:38:49.046627,16.329,0.149,236.8
homing,,,,homing,,2023-09-29 16:38:50.449175,16.329,0.152,236.8
homing,,,,homing,,2023-09-29 16:38:51.149087,16.728,0.152,236.8
homing,,,,homing,,2023-09-29 16:38:52.564167,16.481,0.15,236.8
homing,,,,homing,,2023-09-29 16:38:53.262347,16.253,0.15,236.8
homing,,,,homing,,2023-09-29 16:38:53.962429,16.253,0.15,236.8
homing,,,,homing,,2023-09-29 16:38:55.361603,16.5,0.15,236.8
homing,,,,homing,,2023-09-29 16:38:56.068518,16.5,0.15,236.8
homing,,,,homing,,2023-09-29 16:38:57.471002,16.899,0.151,236.8
homing,,,,homing,,2023-09-29 16:38:58.172894,16.785,0.151,236.8
homing,,,,homing,,2023-09-29 16:38:59.575635,16.595,0.154,236.8
homing,,,,homing,,2023-09-29 16:39:00.275604,16.595,0.154,236.8
homing,,,,homing,,2023-09-29 16:39:00.974396,16.633,0.154,236.8
homing,,,,homing,,2023-09-29 16:39:02.377874,16.329,0.152,236.8
homing,,,,homing,,2023-09-29 16:39:03.083458,16.329,0.152,236.8
homing,,,,homing,,2023-09-29 16:39:04.491646,16.272,0.151,236.8
homing,,,,homing,,2023-09-29 16:39:05.191513,16.272,0.151,236.8
homing,,,,homing,,2023-09-29 16:39:06.590551,16.101,0.151,236.8
homing,,,,homing,,2023-09-29 16:39:07.289664,16.101,0.151,236.8
homing,,,,homing,,2023-09-29 16:39:07.990499,16.405,0.151,236.8
homing,,,,homing,,2023-09-29 16:39:09.398382,16.462,0.152,236.8
homing,,,,homing,,2023-09-29 16:39:10.105419,16.462,0.152,236.8
homing,,,,homing,,2023-09-29 16:39:11.518250,16.633,0.151,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:12.221457,16.633,0.151,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:12.923092,17.203,0.157,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:14.323093,16.937,0.157,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:15.025224,16.937,0.153,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:16.423660,16.595,0.153,236.8
homing,nothing,false,true,homing,,2023-09-29 16:39:17.198982,16.595,0.154,236.8
