cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,10,10,10,homing,,,,,,,,
1.2,10,10,10,homing,,,,,,,,
1.2,10,10,10,homing,,,,,,,,
1.2,10,10,10,homing,,,,,04:23.4,16.69,0.156,236.8
1.2,10,10,10,homing,,,,,04:24.8,16.709,0.156,236.8
1.2,10,10,10,homing,,,,,04:25.7,16.671,0.156,236.8
1.2,10,10,10,homing,,,,,04:26.4,16.671,0.156,236.8
1.2,10,10,10,homing,,,,,04:27.9,16.671,0.155,236.8
1.2,10,10,10,homing,,,,,04:28.6,16.747,0.155,236.8
1.2,10,10,10,homing,,,,,04:30.0,16.728,0.156,236.8
1.2,10,10,10,homing,,,,,04:30.6,16.595,0.156,236.8
1.2,10,10,10,homing,,,,,04:32.0,16.728,0.155,236.8
1.2,10,10,10,homing,,,,,04:32.7,16.728,0.155,236.8
1.2,10,10,10,homing,,,,,04:33.4,16.747,0.155,236.8
1.2,10,10,10,homing,,,,,04:34.8,16.557,0.155,236.8
1.2,10,10,10,homing,,,,,04:35.5,16.975,0.155,236.8
1.2,10,10,10,homing,,,,,04:36.8,17.165,0.159,236.8
1.2,10,10,10,homing,,,,,04:37.6,17.013,0.159,236.8
1.2,10,10,10,homing,,,,,04:38.5,17.013,0.159,236.8
1.2,10,10,10,homing,,,,,04:39.9,16.785,0.158,236.8
1.2,10,10,10,homing,,,,,04:40.6,16.785,0.158,236.8
1.2,10,10,10,homing,,,,,04:42.0,16.557,0.155,236.8
1.2,10,10,10,homing,,,,,04:42.7,16.557,0.155,236.8
1.2,10,10,10,homing,,,,,04:43.4,16.557,0.154,236.8
1.2,10,10,10,homing,,,,,04:44.7,16.424,0.154,236.8
1.2,10,10,10,homing,,,,,04:45.4,16.652,0.155,236.8
1.2,10,10,10,homing,,,,,04:47.0,16.557,0.155,236.8
1.2,10,10,10,homing,,,,,04:47.7,16.576,0.155,236.8
1.2,10,10,10,homing,,,,,04:49.0,16.633,0.155,236.8
1.2,10,10,10,homing,,,,,04:49.7,16.823,0.157,236.8
1.2,10,10,10,homing,,,,,04:50.4,16.823,0.157,236.8
1.2,10,10,10,homing,,,,,04:51.8,16.842,0.157,236.8
1.2,10,10,10,homing,,,,,04:52.5,16.728,0.157,236.8
1.2,10,10,10,homing,,,,,04:53.9,16.823,0.157,236.8
1.2,10,10,10,homing,,,,,04:54.5,16.861,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,04:55.9,16.576,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,04:56.6,16.576,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,04:58.0,16.899,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,04:58.7,16.899,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,04:59.5,16.956,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:00.3,16.956,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:01.2,16.842,0.156,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:02.8,16.842,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:03.5,16.842,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:04.8,16.956,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:05.5,16.785,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:06.9,16.709,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:07.6,16.785,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:09.0,16.728,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:09.7,16.728,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:11.0,16.88,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:11.7,16.861,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:12.4,16.804,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:13.8,16.804,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:14.5,16.804,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:15.9,16.842,0.158,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:16.6,16.785,0.158,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:18.0,16.747,0.158,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:18.6,16.823,0.156,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:20.0,16.804,0.156,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:20.7,16.804,0.157,236.8
1.2,10,10,10,homing,nothing,FALSE,TRUE,,05:21.4,16.842,0.157,236.8
1.2,10,10,10,go_to_pick_down,nothing,TRUE,FALSE,,05:23.0,16.899,0.156,236.8
1.2,10,10,10,go_to_pick_down,nothing,TRUE,FALSE,,05:23.7,16.101,0.156,236.8
1.2,10,10,10,go_to_pick_down,nothing,TRUE,FALSE,,05:25.1,16.348,0.152,236.8
1.2,10,10,10,go_to_pick_up,nothing,TRUE,FALSE,TRUE,05:25.8,16.196,0.152,236.8
1.2,10,10,10,go_to_pick_up,nothing,TRUE,FALSE,TRUE,05:26.4,16.196,0.152,236.8
1.2,10,10,10,go_to_pick_up,nothing,TRUE,FALSE,TRUE,05:27.8,21.912,0.202,236.8
1.2,10,10,10,go_to_pick_up,nothing,TRUE,FALSE,TRUE,05:28.5,21.969,0.202,236.8
