dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,nothing,false,true,homing,,,,,
homing,nothing,false,true,homing,,,,,
homing,nothing,false,true,homing,,,,,
homing,nothing,false,true,homing,,,,,
go_to_pick_down,nothing,true,false,go_to_pick_down,,,,,
go_to_pick_up,nothing,true,false,go_to_pick_up,true,,,,
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,,,,
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,,,,
go_to_color_detect_down,nothing,true,false,go_to_color_detect_down,true,,,,
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,false,,,,
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,false,,,,
detecting_color,nothing,false,false,detecting_color,false,,,,
detecting_color,nothing,false,false,detecting_color,false,,,,
detecting_color,nothing,false,false,detecting_color,false,,,,
detecting_color,nothing,false,false,detecting_color,false,,,,
go_to_color_detect_down,green,true,false,go_to_color_detect_down,false,,,,
go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,,,,
go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,,,,
go_to_green_up,green,true,false,go_to_green_up,true,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_up,green,true,false,go_to_green_up,true,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_down,green,true,false,go_to_green_down,true,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_up,green,true,false,go_to_green_up,false,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_up,green,true,false,go_to_green_up,false,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_up,green,false,true,go_to_green_up,false,2023-10-15 14:29:33.049895,20.981,0.17,235.0
go_to_green_up,green,false,true,go_to_green_up,false,2023-10-15 14:29:33.049895,20.981,0.17,235.0
