dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,37:11.5,16.443,0.154,235
homing,,,,homing,,37:12.2,16.443,0.154,235
homing,,,,homing,,37:13.6,16.5,0.161,235
homing,,,,homing,,37:14.3,16.5,0.161,236.8
homing,,,,homing,,37:15.7,16.443,0.16,236.8
homing,,,,homing,,37:16.4,16.595,0.16,236.8
homing,,,,homing,,37:17.7,16.348,0.16,236.8
homing,,,,homing,,37:18.4,16.462,0.16,236.8
homing,,,,homing,,37:19.1,16.462,0.16,236.8
homing,,,,homing,,37:20.8,16.823,0.161,236.8
homing,,,,homing,,37:21.5,16.823,0.161,236.8
homing,,,,homing,,37:22.2,16.785,0.162,236.8
homing,,,,homing,,37:23.5,16.614,0.162,236.8
homing,,,,homing,,37:24.2,16.614,0.159,236.8
homing,,,,homing,,37:25.6,16.177,0.159,236.8
homing,,,,homing,,37:26.3,16.177,0.154,236.8
homing,,,,homing,,37:27.7,16.12,0.154,236.8
homing,,,,homing,,37:28.4,16.291,0.155,236.8
homing,,,,homing,,37:29.8,16.215,0.155,236.8
homing,,,,homing,,37:29.8,16.215,0.155,236.8
homing,,,,homing,,37:31.8,16.272,0.155,236.8
homing,,,,homing,,37:32.5,16.386,0.155,236.8
homing,,,,homing,,37:33.2,16.139,0.154,236.8
homing,,,,homing,,37:34.6,16.101,0.154,236.8
homing,,,,homing,,37:35.6,16.101,0.156,236.8
homing,,,,homing,,37:36.3,16.519,0.156,236.8
homing,nothing,FALSE,TRUE,homing,,37:37.7,17.089,0.159,236.8
homing,nothing,FALSE,TRUE,homing,,37:38.4,16.557,0.159,236.8
homing,nothing,FALSE,TRUE,homing,,37:39.8,16.272,0.156,236.8
go_to_pick_up,nothing,TRUE,FALSE,go_to_pick_up,,37:40.5,16.139,0.156,236.8
go_to_pick_down,nothing,TRUE,FALSE,go_to_pick_down,,37:41.5,16.139,0.156,236.8
go_to_pick_up,nothing,TRUE,FALSE,go_to_pick_up,TRUE,37:42.2,16.196,0.156,236.8
go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,37:43.6,19.367,0.212,236.8
go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,37:44.2,23.279,0.212,236.8
go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,37:45.6,23.089,0.211,236.8
go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,37:46.3,22.823,0.211,236.8
