dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-10-15 13:41:43.600455,16.747,0.155,238.7
homing,,,,homing,,2023-10-15 13:41:44.308790,16.671,0.155,238.7
homing,,,,homing,,2023-10-15 13:41:45.002029,16.709,0.155,236.8
homing,,,,homing,,2023-10-15 13:41:46.399838,16.614,0.154,236.8
homing,,,,homing,,2023-10-15 13:41:47.089749,16.614,0.154,236.8
homing,,,,homing,,2023-10-15 13:41:48.472458,16.728,0.154,236.8
homing,,,,homing,,2023-10-15 13:41:49.183137,16.861,0.156,236.8
homing,,,,homing,,2023-10-15 13:41:50.580061,16.823,0.156,236.8
homing,,,,homing,,2023-10-15 13:41:51.280985,16.671,0.158,236.8
homing,,,,homing,,2023-10-15 13:41:51.976683,16.671,0.158,236.8
homing,,,,homing,,2023-10-15 13:41:53.657700,16.405,0.159,236.8
homing,,,,homing,,2023-10-15 13:41:54.354091,16.405,0.159,236.8
homing,,,,homing,,2023-10-15 13:41:55.051077,16.367,0.159,236.8
homing,,,,homing,,2023-10-15 13:41:56.559741,16.538,0.16,236.8
homing,,,,homing,,2023-10-15 13:41:57.258267,16.405,0.16,236.8
homing,,,,homing,,2023-10-15 13:41:58.659099,16.405,0.159,236.8
homing,,,,homing,,2023-10-15 13:41:59.351329,16.405,0.159,236.8
homing,,,,homing,,2023-10-15 13:42:00.042072,16.538,0.156,236.8
homing,,,,homing,,2023-10-15 13:42:01.422606,16.481,0.156,238.7
homing,,,,homing,,2023-10-15 13:42:02.118386,16.5,0.156,238.7
homing,,,,homing,,2023-10-15 13:42:03.517901,16.367,0.156,238.7
homing,,,,homing,,2023-10-15 13:42:04.215498,16.367,0.16,238.7
homing,nothing,false,true,homing,,2023-10-15 13:42:05.599222,17.279,0.16,236.8
homing,nothing,false,true,homing,,2023-10-15 13:42:06.290258,17.279,0.158,236.8
homing,nothing,false,true,homing,,2023-10-15 13:42:07.004418,16.177,0.158,238.7
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-15 13:42:08.390790,16.557,0.155,238.7
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-15 13:42:09.083747,16.557,0.155,238.7
go_to_pick_up,nothing,true,false,go_to_pick_up,true,2023-10-15 13:42:10.544069,19.196,0.193,238.7
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-10-15 13:42:11.242820,23.507,0.193,238.7
