cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
32.4,50,50,50,homing,,,,homing,,,,,
32.4,50,50,50,homing,,,,homing,,,,,
32.4,50,50,50,homing,,,,homing,,,,,
32.4,50,50,50,homing,,,,homing,,24:35.4,16.443,0.151,235
32.4,50,50,50,homing,,,,homing,,24:36.2,16.443,0.151,236.8
32.4,50,50,50,homing,,,,homing,,24:37.0,16.481,0.151,236.8
32.4,50,50,50,homing,,,,homing,,24:37.8,16.367,0.152,236.8
32.4,50,50,50,homing,,,,homing,,24:39.4,16.272,0.152,235
32.4,50,50,50,homing,,,,homing,,24:40.2,16.272,0.151,235
32.4,50,50,50,homing,,,,homing,,24:41.0,16.272,0.151,235
32.4,50,50,50,homing,,,,homing,,24:42.6,16.576,0.151,235
32.4,50,50,50,homing,,,,homing,,24:43.3,16.576,0.151,235
32.4,50,50,50,homing,,,,homing,,24:44.1,16.633,0.153,235
32.4,50,50,50,homing,,,,homing,,24:45.5,16.804,0.153,236.8
32.4,50,50,50,homing,,,,homing,,24:45.5,16.804,0.153,236.8
32.4,50,50,50,homing,,,,homing,,24:47.4,16.747,0.154,235
32.4,50,50,50,homing,,,,homing,,24:48.1,16.386,0.154,235
32.4,50,50,50,homing,,,,homing,,24:49.6,16.12,0.15,235
32.4,50,50,50,homing,,,,homing,,24:50.3,16.272,0.15,235
32.4,50,50,50,homing,,,,homing,,24:51.1,16.272,0.151,235
32.4,50,50,50,homing,,,,homing,,24:51.9,16.367,0.151,235
32.4,50,50,50,homing,,,,homing,,24:53.4,16.329,0.15,235
32.4,50,50,50,homing,,,,homing,,24:54.6,16.424,0.15,236.8
32.4,50,50,50,homing,,,,homing,,24:55.4,16.272,0.153,236.8
32.4,50,50,50,homing,,,,homing,,24:56.1,17.051,0.153,235
32.4,50,50,50,homing,nothing,FALSE,TRUE,homing,,24:57.5,16.69,0.155,235
32.4,50,50,50,homing,nothing,FALSE,TRUE,homing,,24:58.2,16.69,0.155,235
32.4,50,50,50,homing,nothing,FALSE,TRUE,homing,,24:59.0,16.747,0.155,235
32.4,50,50,50,homing,nothing,FALSE,TRUE,homing,,24:59.8,16.747,0.155,235
32.4,50,50,50,homing,nothing,FALSE,TRUE,homing,,25:01.5,16.766,0.154,235
32.4,50,50,50,go_to_pick_down,nothing,TRUE,FALSE,go_to_pick_down,,25:02.2,16.88,0.155,235
32.4,50,50,50,go_to_pick_up,nothing,TRUE,FALSE,go_to_pick_up,TRUE,25:03.7,16.405,0.155,236.8
32.4,50,50,50,go_to_pick_up,nothing,TRUE,FALSE,go_to_pick_up,TRUE,25:04.5,23.469,0.183,236.8
32.4,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,25:05.2,23.469,0.183,236.8
32.4,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,25:06.0,22.5,0.183,236.8
32.4,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,TRUE,25:07.6,22.557,0.202,236.8
32.4,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,go_to_color_detect_down,TRUE,25:08.4,22.5,0.202,236.8
32.4,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,go_to_color_detect_down,TRUE,25:09.1,22.196,0.202,236.8
32.4,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,FALSE,25:10.0,22.083,0.202,236.8
32.4,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,go_to_color_detect_up,FALSE,25:11.5,21.057,0.197,235
32.4,50,50,50,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,25:12.3,17.051,0.197,235
32.4,50,50,50,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,25:13.1,17.051,0.154,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,25:14.6,16.348,0.154,235
32.4,50,50,50,go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,FALSE,25:15.3,16.348,0.151,235
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,25:16.1,16.405,0.151,236.8
32.4,50,50,50,go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,25:17.5,23.108,0.206,236.8
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,25:18.4,22.956,0.206,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,25:19.3,22.215,0.202,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,25:20.0,22.519,0.202,235
32.4,50,50,50,go_to_blue_up,blue,TRUE,FALSE,go_to_blue_up,TRUE,25:21.5,22.69,0.203,235
32.4,50,50,50,go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,25:22.3,22.576,0.203,235
32.4,50,50,50,go_to_blue_down,blue,TRUE,FALSE,go_to_blue_down,TRUE,25:23.0,21.95,0.203,235
