cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,50,50,50,homing,,,,homing,,,,,
1.2,50,50,50,homing,,,,homing,,,,,
1.2,50,50,50,homing,,,,homing,,,,,
1.2,50,50,50,homing,,,,homing,,26:50.5,16.462,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:51.1,16.614,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:52.0,16.614,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:53.5,16.671,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:54.1,16.69,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:55.5,16.633,0.154,238.7
1.2,50,50,50,homing,,,,homing,,26:56.2,16.538,0.154,238.7
1.2,50,50,50,homing,,,,homing,,26:57.2,16.538,0.154,238.7
1.2,50,50,50,homing,,,,homing,,26:58.6,16.538,0.155,238.7
1.2,50,50,50,homing,,,,homing,,26:59.3,16.538,0.156,238.7
1.2,50,50,50,homing,,,,homing,,26:59.9,16.69,0.156,238.7
1.2,50,50,50,homing,,,,homing,,27:01.3,16.747,0.156,238.7
1.2,50,50,50,homing,,,,homing,,27:02.0,16.424,0.154,238.7
1.2,50,50,50,homing,,,,homing,,27:03.4,16.443,0.154,238.7
1.2,50,50,50,homing,,,,homing,,27:04.1,16.443,0.153,238.7
1.2,50,50,50,homing,,,,homing,,27:05.5,16.215,0.153,238.7
1.2,50,50,50,homing,,,,homing,,27:06.1,16.272,0.152,238.7
1.2,50,50,50,homing,,,,homing,,27:07.5,16.291,0.152,236.8
1.2,50,50,50,homing,,,,homing,,27:08.2,16.538,0.154,236.8
1.2,50,50,50,homing,,,,homing,,27:09.6,16.177,0.154,238.7
1.2,50,50,50,homing,,,,homing,,27:10.3,16.177,0.154,238.7
1.2,50,50,50,homing,,,,homing,,27:11.6,16.215,0.153,238.7
1.2,50,50,50,homing,,,,homing,,27:12.3,16.994,0.153,238.7
1.2,50,50,50,go_to_pick_up_from_homing,nothing,,,go_to_pick_up_from_homing,,27:13.0,16.88,0.159,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:14.2,16.88,0.159,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:15.6,16.956,0.154,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:16.3,16.956,0.154,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:17.0,17.07,0.157,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:18.3,16.937,0.157,238.7
1.2,50,50,50,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,27:19.0,16.956,0.157,238.7
1.2,50,50,50,go_to_pick_down,nothing,TRUE,FALSE,joint 3 +,,27:20.4,16.785,0.157,238.7
1.2,50,50,50,go_to_pick_down,nothing,TRUE,FALSE,joint 3 +,,27:21.1,16.785,0.157,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,joint 3 -,TRUE,27:22.5,16.158,0.152,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,joint 3 -,TRUE,27:23.2,19.747,0.152,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 1 +,TRUE,27:24.5,22.633,0.206,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 1 +,TRUE,27:25.2,22.234,0.206,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 1 +,TRUE,27:26.6,22.519,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 2 +,TRUE,27:27.3,22.5,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 2 +,TRUE,27:28.6,22.291,0.199,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 2 +,TRUE,27:29.3,22.424,0.199,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,27:30.0,22.348,0.202,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,27:31.4,22.557,0.202,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,27:32.1,16.557,0.158,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,27:33.5,16.766,0.158,236.8
1.2,50,50,50,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,27:34.2,16.519,0.155,236.8
1.2,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,27:35.6,16.386,0.155,236.8
1.2,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,27:36.3,16.386,0.155,236.8
1.2,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,27:37.0,16.253,0.153,236.8
1.2,50,50,50,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,27:37.8,16.253,0.153,236.8
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,TRUE,27:39.4,16.519,0.154,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,TRUE,27:40.2,22.766,0.154,238.7
1.2,50,50,50,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,TRUE,27:41.5,22.937,0.206,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,27:42.2,22.956,0.206,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,27:43.6,22.329,0.2,238.7
1.2,50,50,50,go_to_red_up,red,TRUE,FALSE,joint 1 +,TRUE,27:44.5,22.329,0.2,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:45.2,22.405,0.202,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:46.5,18.931,0.202,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:47.2,18.931,0.153,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:48.0,16.31,0.153,236.8
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:49.4,16.329,0.154,236.8
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,27:50.1,16.405,0.154,236.8
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,27:51.5,16.348,0.157,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,27:52.1,16.348,0.157,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,27:53.6,16.766,0.157,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,27:54.2,16.766,0.156,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,27:55.6,16.69,0.156,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,27:56.3,16.823,0.156,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,27:57.7,16.595,0.156,236.8
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,27:58.4,16.5,0.154,236.8
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,27:59.0,16.5,0.154,236.8
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,28:00.4,22.937,0.205,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,28:01.1,22.481,0.205,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,28:02.5,22.291,0.203,236.8
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,28:03.2,22.519,0.203,236.8
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,28:04.0,22.329,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,28:05.4,22.31,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,28:06.1,22.367,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,28:07.5,19.5,0.2,238.7
