dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,cube_weight_g
homing,,,,homing,,,,,,1.3
homing,,,,homing,,,,,,1.3
homing,,,,homing,,,,,,1.3
homing,,,,homing,,25:42.1,16.462,0.154,235,1.3
homing,,,,homing,,25:42.8,16.424,0.154,235,1.3
homing,,,,homing,,25:43.5,16.348,0.154,235,1.3
homing,,,,homing,,25:44.9,16.424,0.154,235,1.3
homing,,,,homing,,25:45.6,16.424,0.154,235,1.3
homing,,,,homing,,25:47.0,16.291,0.154,235,1.3
homing,,,,homing,,25:47.7,16.31,0.154,235,1.3
homing,,,,homing,,25:49.1,16.367,0.153,235,1.3
homing,,,,homing,,25:49.8,16.899,0.153,235,1.3
homing,,,,homing,,25:50.5,16.899,0.153,235,1.3
homing,,,,homing,,25:51.9,17.013,0.163,235,1.3
homing,,,,homing,,25:52.6,16.918,0.163,235,1.3
homing,,,,homing,,25:54.0,16.804,0.163,235,1.3
homing,,,,homing,,25:54.0,16.804,0.163,235,1.3
homing,,,,homing,,25:55.9,16.386,0.155,235,1.3
homing,,,,homing,,25:56.6,16.386,0.155,235,1.3
homing,,,,homing,,25:57.9,16.367,0.153,235,1.3
homing,,,,homing,,25:58.6,16.348,0.153,235,1.3
homing,,,,homing,,26:00.0,16.443,0.156,235,1.3
homing,,,,homing,,26:00.7,16.234,0.156,235,1.3
homing,,,,homing,,26:02.1,16.329,0.156,235,1.3
homing,,,,homing,,26:02.8,16.329,0.156,235,1.3
homing,nothing,FALSE,TRUE,homing,,26:03.5,17.222,0.156,235,1.3
homing,nothing,FALSE,TRUE,homing,,26:04.9,16.196,0.156,235,1.3
homing,nothing,FALSE,TRUE,homing,,26:05.5,15.949,0.156,235,1.3
go_to_pick_down,nothing,TRUE,FALSE,go_to_pick_down,,26:06.9,16.006,0.152,235,1.3
go_to_pick_down,nothing,TRUE,FALSE,go_to_pick_down,,26:07.6,16.006,0.152,235,1.3
