dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,,,,
homing,,,,homing,,2023-10-15 14:03:35.083296,16.462,0.154,236.8
homing,,,,homing,,2023-10-15 14:03:35.785188,16.462,0.154,236.8
homing,,,,homing,,2023-10-15 14:03:36.495576,16.614,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:37.570160,16.614,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:38.471932,16.5,0.158,236.8
homing,,,,homing,,2023-10-15 14:03:40.015981,16.519,0.158,236.8
homing,,,,homing,,2023-10-15 14:03:40.722543,16.519,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:41.491795,16.576,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:42.897722,16.709,0.157,236.8
homing,,,,homing,,2023-10-15 14:03:43.604850,16.747,0.157,236.8
homing,,,,homing,,2023-10-15 14:03:45.028884,16.766,0.158,236.8
homing,,,,homing,,2023-10-15 14:03:45.732904,16.766,0.158,236.8
homing,,,,homing,,2023-10-15 14:03:46.441074,16.462,0.158,236.8
homing,,,,homing,,2023-10-15 14:03:47.953968,16.329,0.154,236.8
homing,,,,homing,,2023-10-15 14:03:48.659980,16.462,0.154,236.8
homing,,,,homing,,2023-10-15 14:03:49.634594,16.462,0.161,236.8
homing,,,,homing,,2023-10-15 14:03:51.036390,16.785,0.161,236.8
homing,,,,homing,,2023-10-15 14:03:51.821163,16.785,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:52.750920,16.614,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:53.452355,16.443,0.155,236.8
homing,,,,homing,,2023-10-15 14:03:54.857216,16.443,0.154,235.0
homing,,,,homing,,2023-10-15 14:03:55.758062,16.443,0.154,235.0
homing,nothing,false,true,homing,,2023-10-15 14:03:56.471129,16.728,0.16,235.0
homing,nothing,false,true,homing,,2023-10-15 14:03:57.959102,16.956,0.16,236.8
homing,nothing,false,true,homing,,2023-10-15 14:03:58.664344,15.911,0.15,236.8
homing,nothing,false,true,homing,,2023-10-15 14:03:59.393367,15.911,0.15,236.8
go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-10-15 14:04:00.749122,15.911,0.15,236.8
go_to_pick_up,nothing,true,false,go_to_pick_up,true,2023-10-15 14:04:01.483974,15.949,0.152,236.8
go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,true,2023-10-15 14:04:02.905134,23.222,0.209,236.8
