cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
1.2,50,50,60,homing,,,,homing,,,,,,85.75179291,170.1721649,61.03849792,43.25592041,62.85591888,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,142.3747406,126.654541,61.03849792,21.65583801,41.25583649,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,175.5953827,74.01486206,61.03849792,2.855810165,22.45581055,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,190.1691437,12.15045547,61.03849792,-16.34417725,3.255823135,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,181.2876892,-58.70870209,61.03849792,-37.94416809,-18.34416962,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,151.0894775,-116.1202316,61.03849792,-57.54417801,-37.94417953,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,,,,,104.4970474,-159.3496246,61.03849792,-76.74424744,-57.14425278,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:11.9,16.69,0.162,235,38.4981308,-186.627533,61.03849792,-98.34432983,-78.74433136,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:13.6,16.728,0.163,235,-26.33729172,-188.7280731,61.03849792,-117.9444046,-98.34440613,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:14.7,16.728,0.163,235,-86.93888855,-169.5687714,61.03849792,-137.1444702,-117.5444794,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:15.4,16.69,0.162,235,-137.8683472,-131.5456543,61.03849792,-156.3443909,-136.3243866,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:16.1,16.766,0.162,235,-135.3638763,-134.1214294,61.03849792,-155.2641602,-135.2441559,1.607817173,30.18395805,-20
1.2,50,50,60,homing,,,,homing,,51:17.6,16.728,0.162,235,-112.8742523,-157.1221619,59.53822327,-144.8683167,-125.2129059,3.259489059,30.82383537,-19.13311768
1.2,50,50,60,homing,,,,homing,,51:18.3,16.785,0.162,236.8,-26.89372635,-202.8287964,52.7888031,-113.5061111,-96.95297241,9.495558739,33.2397728,-15.86010933
1.2,50,50,60,homing,,,,homing,,51:19.8,17.013,0.164,236.8,97.10240173,-204.0655365,34.48275757,-73.84553528,-63.95305634,22.27492142,38.19067764,-9.152844429
1.2,50,50,60,homing,,,,homing,,51:20.6,16.956,0.164,236.8,195.7653046,-140.9470673,15.19107819,-39.5353775,-35.15312958,32.67689896,42.22054291,-3.69335556
1.2,50,50,60,homing,,,,homing,,51:21.3,16.956,0.164,236.8,246.3759308,-32.86618805,2.796142578,-8.267908096,-7.17725563,38.50875473,44.47988892,-0.632500172
