cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
1.2,60,60,60,homing,,,,homing,,,,,,134.3997344970703,-3.0636653900146484,1.2812042236328125,-1.305841088294983,-1.705841064453125,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,,,,,123.83390808105469,-52.3243408203125,1.2812042236328125,-22.90582847595215,-23.305828094482422,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,,,,,99.73804473876953,-90.13876342773438,1.2812042236328125,-42.105857849121094,-42.505859375,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:36.102144,16.69,0.159,235.0,64.54646301269531,-117.92552185058594,1.2812042236328125,-61.305931091308594,-61.7059326171875,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:36.787729,16.576,0.159,235.0,16.60230827331543,-133.40553283691406,1.2812042236328125,-82.90601348876953,-83.30601501464844,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:38.191728,16.652,0.158,235.0,-28.193965911865234,-131.4449462890625,1.2812042236328125,-102.10608673095703,-102.50608825683594,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:38.881834,16.652,0.158,235.0,-69.05015563964844,-115.3462142944336,1.2812042236328125,-120.90615844726562,-121.30615997314453,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:40.258281,16.823,0.159,235.0,-96.35472106933594,-93.7466812133789,1.2812042236328125,-135.78599548339844,-135.7659912109375,5.284522533416748,64.92426300048828,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:40.941922,16.823,0.159,235.0,-95.13223266601562,-94.9964828491211,1.2819366455078125,-135.04090881347656,-135.01690673828125,5.289982318878174,64.92109680175781,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:42.371474,16.747,0.158,235.0,-72.08171844482422,-123.09193420410156,2.1361846923828125,-120.35291290283203,-119.75291442871094,7.604879856109619,63.577884674072266,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:43.057072,16.709,0.158,235.0,6.066291332244873,-169.72413635253906,4.023658752441406,-87.95299530029297,-87.35299682617188,15.221113204956055,59.15859603881836,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:44.444623,16.709,0.158,235.0,106.10337829589844,-177.6590576171875,4.110404968261719,-59.15306854248047,-58.553070068359375,26.039119720458984,52.88148880004883,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:45.130622,16.804,0.16,235.0,211.65640258789062,-106.69812774658203,1.7825393676757812,-26.75313377380371,-26.153133392333984,35.43294906616211,47.430755615234375,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:45.822622,16.804,0.16,235.0,248.48532104492188,-12.133401870727539,0.1898040771484375,-2.795501232147217,-2.54244327545166,39.327938079833984,45.17070770263672,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:47.221225,16.709,0.159,235.0,249.99998474121094,0.0,-7.62939453125e-06,0.0,0.0,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:47.905816,16.614,0.159,235.0,249.99998474121094,0.0,-7.62939453125e-06,0.0,0.0,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:49.283100,16.538,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:49.968203,16.424,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:51.350417,16.5,0.158,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:52.051492,16.5,0.158,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:53.427110,16.253,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:54.111276,16.576,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:54.794285,16.576,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:56.187044,16.5,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:56.874034,16.5,0.157,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:58.246672,16.443,0.158,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:19:58.935621,16.709,0.158,235.0,249.99998474121094,0.00017966009909287095,-7.62939453125e-06,4.117506250622682e-05,4.117506250622682e-05,39.71385955810547,44.94676971435547,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:20:00.316611,16.5,0.156,235.0,250.1300811767578,0.00017975358059629798,-0.01068878173828125,4.117506250622682e-05,4.117506250622682e-05,39.756324768066406,44.91743850708008,0.0
1.2,60,60,60,homing,,,,homing,,2023-12-11 21:20:01.031611,16.633,0.156,235.0,260.9620056152344,44.86110305786133,28.3043212890625,4.100799560546875e-05,10.14323616027832,37.0799674987793,32.13566589355469,-10.143195152282715
