cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
1.2,70,70,70,homing,,,,homing,,,,,,176.8170929,71.69242096,70.62530518,2.070631027,21.67063141,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,,,,,190.5591278,9.55542469,70.62530518,-17.12935638,2.470643044,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,,,,,180.2628784,-62.5250473,70.62530518,-39.12934875,-19.52934837,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:16.3,16.842,0.161,235,149.6735687,-118.3296661,70.62530518,-58.32936096,-38.72936249,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:17.1,16.652,0.161,235,102.4333038,-160.9705048,70.62530518,-77.5294342,-57.92943573,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:17.8,16.652,0.16,235,35.98261261,-187.3748627,70.62530518,-99.1295166,-79.52951813,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:19.4,16.69,0.16,235,-27.64045143,-188.7858429,70.62530518,-118.3295898,-98.72959137,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:19.4,16.69,0.16,235,-89.36762238,-168.5749512,70.62530518,-137.929657,-118.3296661,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:21.3,16.709,0.16,235,-138.834137,-130.8784637,70.62530518,-156.6895599,-136.6695557,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:22.0,16.766,0.16,235,-136.3420868,-133.4725494,70.62530518,-155.6093292,-135.589325,-0.449152946,25.96964073,-20
1.2,70,70,70,homing,,,,homing,,49:22.8,16.766,0.16,235,-119.6515961,-151.3915863,69.32327271,-147.727829,-127.9129105,0.814010143,26.56648636,-19.37098122
1.2,70,70,70,homing,,,,homing,,49:24.3,16.69,0.162,235,-35.26339722,-200.9529572,61.69625092,-116.2676544,-99.35296631,7.129825115,29.55072403,-16.22589111
1.2,70,70,70,homing,,,,homing,,49:25.1,16.69,0.162,235,74.10448456,-209.8818665,44.41436005,-81.2731781,-69.95304108,18.46857452,34.90831375,-10.57953072
1.2,70,70,70,homing,,,,homing,,49:25.9,16.88,0.162,235,178.6638794,-159.4810486,21.26799011,-46.48246384,-41.15311432,30.41635513,40.55366898,-4.629885197
1.2,70,70,70,homing,,,,homing,,49:27.3,16.785,0.163,235,244.5924988,-42.61610413,4.095611572,-10.75452709,-9.402545929,38.05002213,44.16059113,-0.828543305
1.2,70,70,70,homing,,,,homing,,49:28.1,16.88,0.163,235,251.6853485,-0.821816027,-1.959648132,-0.187084481,-0.166640624,40.69199371,45.08795929,0
1.2,70,70,70,homing,,,,homing,,49:28.9,16.88,0.16,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:30.3,16.595,0.16,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:31.1,16.595,0.159,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:31.9,16.576,0.159,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:33.0,16.481,0.159,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:34.4,16.652,0.159,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:35.2,16.595,0.159,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,70,homing,,,,homing,,49:36.0,16.595,0.16,235,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
