cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
1.2,70,70,60,homing,,,,homing,,,,,,195.808609,67.15276337,78.58465576,-1.070543289,18.52945709,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,,,,,207.0013275,-0.97740835,78.58465576,-20.27053452,-0.670534253,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,,,,,195.165741,-68.99884796,78.58465576,-39.47052765,-19.87052536,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:49.9,16.595,0.162,229.3,156.0603027,-135.9988708,78.58465576,-61.07054901,-41.47055054,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:51.2,16.576,0.162,229.3,102.6539307,-179.7572632,78.58465576,-80.27062225,-60.67062378,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:51.9,16.576,0.162,229.3,37.82749939,-203.5180206,78.58465576,-99.4706955,-79.87069702,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:53.3,16.576,0.162,229.3,-38.32989883,-203.423996,78.58465576,-120.6707764,-101.0707779,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:54.0,16.595,0.162,229.3,-103.0974884,-179.5032196,78.58465576,-139.8708496,-120.2708511,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:55.4,16.576,0.165,229.3,-150.2812195,-142.358902,78.58465576,-156.5507202,-136.5307159,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:56.3,16.5,0.165,229.3,-147.5706787,-145.1667938,78.58465576,-155.4704895,-135.4504852,4.827904224,22.36585999,-20
1.2,70,70,60,homing,,,,homing,,30:57.1,16.5,0.164,229.3,-123.5154114,-169.0041656,76.18373108,-145.3775482,-125.6929092,6.266243458,23.29686546,-19.1754055
1.2,70,70,60,homing,,,,homing,,30:57.8,16.633,0.164,229.3,-30.96014786,-216.1048279,65.83224487,-114.198082,-97.55297089,11.88683033,26.93494797,-15.95314026
1.2,70,70,60,homing,,,,homing,,30:58.7,16.975,0.164,229.3,96.15769958,-213.4925079,41.76593018,-75.32798767,-65.15305328,23.25958061,34.29627609,-9.433181763
1.2,70,70,60,homing,,,,homing,,31:00.2,16.823,0.164,229.3,195.5132446,-147.0791931,18.06097412,-40.91633987,-36.35312653,32.95957565,40.57487106,-3.872204304
1.2,70,70,60,homing,,,,homing,,31:00.9,16.823,0.164,229.3,246.4122009,-36.72292709,3.477111816,-9.223384857,-8.03137207,38.47932816,44.14769363,-0.70774591
1.2,70,70,60,homing,,,,homing,,31:02.2,16.899,0.164,229.3,248.3753662,0.000178493,0.971359253,4.12E-05,4.12E-05,38.95094681,45.05290222,0
1.2,70,70,60,homing,,,,homing,,31:03.0,16.899,0.164,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:04.3,16.595,0.165,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:05.0,16.595,0.165,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:06.4,16.462,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:07.1,16.5,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:08.5,16.5,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:09.1,16.5,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:09.8,16.481,0.161,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:11.2,16.481,0.161,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:11.9,16.386,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:13.3,16.633,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:13.9,16.633,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:15.3,16.519,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:16.0,16.519,0.16,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:17.4,16.557,0.162,229.3,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
1.2,70,70,60,homing,,,,homing,,31:18.1,16.671,0.162,229.3,251.7631989,7.099066257,4.497329712,4.11E-05,1.803610086,38.87077713,42.90844345,-1.803568959
1.2,70,70,60,homing,,,,homing,,31:19.4,17.032,0.161,229.3,272.0955811,91.01303864,57.43757248,4.20E-05,18.67369843,40.50973129,17.64220619,-18.67365646
1.2,70,70,60,go_to_pick_up_from_homing,nothing,,,go_to_pick_up_from_homing,,31:20.1,16.975,0.161,229.3,281.993866,104.6264191,71.74093628,2.67E-05,20.33917618,45.55271912,8.668281555,-20.33915138
1.2,70,70,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,31:20.8,16.975,0.162,229.3,292.822052,106.5785141,84.95825195,0,20,51,-2.33E-10,-20
1.2,70,70,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,31:22.2,16.918,0.162,229.3,292.822052,106.5785141,84.95825195,0,20,51,-2.33E-10,-20
1.2,70,70,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,31:22.9,16.329,0.161,229.3,292.822052,106.5785141,84.95825195,0,20,51,-2.33E-10,-20
1.2,70,70,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,31:24.3,16.253,0.161,229.3,292.822052,106.5785141,84.95825195,0,20,51,-2.33E-10,-20
1.2,70,70,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,31:25.0,16.253,0.161,229.3,292.822052,106.5785141,84.95825195,0,20,51,-2.33E-10,-20
1.2,70,70,60,go_to_pick_down,nothing,TRUE,FALSE,joint 3 +,,31:26.3,16.386,0.16,229.3,287.0768127,104.4874191,43.00442886,0,20,51,17.03368378,-20
1.2,70,70,60,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,joint 3 -,TRUE,31:27.0,16.386,0.16,229.3,288.3669128,104.9569778,47.92589569,0,20,51,14.04240131,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 1 +,TRUE,31:28.4,23.032,0.164,229.3,292.2713318,108.0796509,84.95825195,0.293998718,20.41159821,51,0,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 1 +,TRUE,31:29.1,22.5,0.164,229.3,210.765213,229.5250702,84.95825195,27.43977737,48.25967407,51,0,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 +,TRUE,31:30.1,22.5,0.213,229.3,131.6893616,282.4087524,83.14798737,45,65,51,0.882000029,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 +,TRUE,31:31.5,22.443,0.21,229.3,123.1978683,264.1986694,10.75354767,45,65,51,31.14037132,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,31:32.1,22.158,0.21,227.4,111.2335205,238.5410461,-24.08192444,45,65,51,47.80400085,-20
1.2,70,70,60,go_to_color_detect_up,nothing,TRUE,FALSE,joint 3 -,FALSE,31:32.8,19.899,0.21,227.4,129.0238342,276.6924744,42.32413483,45,65,51,16.05653381,-20
1.2,70,70,60,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,31:34.2,17.127,0.165,227.4,131.6940765,282.4188232,84.95825195,45,65,51,0,-20
1.2,70,70,60,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,31:34.9,17.127,0.165,227.4,131.6940765,282.4188232,84.95825195,45,65,51,0,-20
1.2,70,70,60,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,31:36.3,16.443,0.163,227.4,130.6834564,280.2515564,58.55114365,45,65,51,10.99560165,-20
1.2,70,70,60,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,31:37.0,16.443,0.163,227.4,113.7634888,243.9665833,-18.35470581,45,65,51,45.00511932,-20
