meross/sample_timestamp,meross/power,meross/current,meross/voltage
10:19.2,3.019,0.047,236.8
10:20.0,3.019,0.049,236.8
10:20.9,3.019,0.049,236.8
10:21.7,3.019,0.046,236.8
10:22.5,3.019,0.046,236.8
10:24.1,3.019,0.051,236.8
10:24.8,3.019,0.051,236.8
10:25.7,3.019,0.045,236.8
10:26.5,3.019,0.045,236.8
10:28.2,3.019,0.045,236.8
10:29.0,3.019,0.045,236.8
10:29.9,3.019,0.045,236.8
10:30.8,3.019,0.043,236.8
10:31.6,3.057,0.043,236.8
10:33.2,3.057,0.048,236.8
10:34.0,3.057,0.048,236.8
10:34.8,3.057,0.046,236.8
10:35.6,3.057,0.046,236.8
10:37.2,3.057,0.049,236.8
10:38.1,3.095,0.049,236.8
10:38.8,3.095,0.049,236.8
10:39.5,3.095,0.046,236.8
10:41.2,3.095,0.046,236.8
10:42.0,3.095,0.043,236.8
10:42.8,3.095,0.043,236.8
10:43.5,3.095,0.044,236.8
10:45.1,3.038,0.044,236.8
10:45.9,3.038,0.047,236.8
10:46.8,3.038,0.047,236.8
10:47.6,3.038,0.047,236.8
10:49.2,3.038,0.047,236.8
10:50.0,3.038,0.05,236.8
10:50.9,3.038,0.05,236.8
10:51.7,3.038,0.05,236.8
10:52.5,3.038,0.049,236.8
10:54.1,3.038,0.046,236.8
10:54.8,3.038,0.046,236.8
10:55.7,3.038,0.046,236.8
10:56.5,3.038,0.049,236.8
10:58.0,2.943,0.049,236.8
10:58.8,2.943,0.044,236.8
10:59.7,2.943,0.044,236.8
11:00.5,2.943,0.046,236.8
11:02.1,2.943,0.046,236.8
11:02.9,2.943,0.045,236.8
11:03.8,2.943,0.045,236.8
11:04.7,2.943,0.045,236.8
11:05.5,3.019,0.046,236.8
11:07.1,3.019,0.045,236.8
11:08.0,3.019,0.045,236.8
11:08.8,3.019,0.045,236.8
11:09.6,3.019,0.045,236.8
11:11.1,3.019,0.05,236.8
11:11.8,2.962,0.05,236.8
11:12.7,2.962,0.05,236.8
11:13.5,2.962,0.046,236.8
11:15.2,2.962,0.046,236.8
11:16.2,2.962,0.046,236.8
11:17.0,2.962,0.046,236.8
11:17.8,2.962,0.046,236.8
11:18.7,3.019,0.044,236.8
11:19.4,3.019,0.044,236.8
11:21.1,3.019,0.047,236.8
11:21.9,3.019,0.047,236.8
11:22.8,3.019,0.043,236.8
11:23.6,3.019,0.043,236.8
11:25.3,2.924,0.051,236.8
11:25.3,2.924,0.051,236.8
11:26.7,2.924,0.051,236.8
11:27.5,2.924,0.044,236.8
11:29.1,2.924,0.044,236.8
11:29.8,2.924,0.044,236.8
11:30.6,2.924,0.044,236.8
11:32.2,3.038,0.048,236.8
11:33.0,3.038,0.048,236.8
11:34.0,3.038,0.047,236.8
11:34.8,3.038,0.047,236.8
11:35.6,3.038,0.047,236.8
11:36.4,3.038,0.047,236.8
11:38.2,3.038,0.047,236.8
11:39.0,2.943,0.047,236.8
11:39.9,2.943,0.048,236.8
