meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
14:02.5,16.082,0.153,235,0
14:03.9,16.006,0.152,235,0
14:04.6,16.006,0.152,235,0
14:05.3,16.12,0.152,235,0
14:06.6,16.063,0.152,236.8,0
14:07.3,16.063,0.152,236.8,0
14:08.7,16.025,0.152,236.8,0
14:09.4,16.044,0.152,236.8,0
14:10.8,16.025,0.152,236.8,0
14:11.5,16.025,0.152,235,0
14:12.8,15.892,0.153,235,0
14:13.5,15.892,0.153,235,0
14:14.9,15.854,0.152,235,0
14:15.6,16.006,0.152,236.8,0
14:16.3,16.006,0.152,236.8,0
14:17.7,15.911,0.153,236.8,0
14:18.3,16.006,0.153,236.8,0
14:19.7,16.101,0.152,236.8,0
14:20.4,16.025,0.152,236.8,0
14:21.8,15.987,0.152,236.8,0
14:22.5,15.987,0.152,236.8,0
14:23.8,16.12,0.152,236.8,0
14:24.5,16.063,0.152,236.8,0
14:25.9,16.006,0.152,236.8,0
14:26.6,16.006,0.152,236.8,0
14:27.3,15.854,0.152,235,0
14:28.7,15.892,0.152,235,0
14:29.4,15.835,0.152,236.8,0
14:30.8,15.873,0.151,236.8,0
14:31.4,15.873,0.151,235,0
14:32.8,16.006,0.153,235,0
14:33.5,16.006,0.153,235,0
14:34.9,16.044,0.152,235,0
14:35.6,15.949,0.152,235,0
14:36.3,15.949,0.152,235,0
14:37.8,16.025,0.151,235,0
14:38.4,15.968,0.151,235,0
14:39.8,16.044,0.152,235,0
14:40.5,16.044,0.152,235,0
14:41.9,15.93,0.152,235,0
14:42.6,15.93,0.152,235,0
14:44.0,16.006,0.151,235,0
14:44.6,16.12,0.151,235,0
14:45.3,16.12,0.151,235,0
14:46.7,16.12,0.152,235,0
14:47.4,15.987,0.152,235,0
14:48.8,15.968,0.152,235,0
14:49.5,15.968,0.152,235,0
14:50.9,16.025,0.153,235,0
14:51.6,16.025,0.153,235,0
14:52.9,16.158,0.152,235,0
14:53.6,16.025,0.152,236.8,0
14:54.3,16.025,0.152,236.8,0
14:55.7,16.025,0.152,236.8,0
14:56.4,15.911,0.152,236.8,0
14:57.8,16.101,0.151,236.8,0
14:58.4,15.949,0.151,236.8,0
14:59.8,16.025,0.151,236.8,0
15:00.5,16.025,0.151,236.8,0
15:01.9,16.044,0.151,236.8,0
15:02.6,16.025,0.151,236.8,0
15:03.3,16.025,0.151,236.8,0
15:04.7,16.063,0.151,236.8,0
15:05.4,16.063,0.151,236.8,0
15:06.8,15.93,0.152,236.8,0
15:07.5,16.006,0.152,236.8,0
15:08.9,16.101,0.151,236.8,0
15:09.6,16.101,0.151,236.8,0
15:11.0,16.025,0.152,236.8,0
15:11.6,16.044,0.152,236.8,0
15:12.4,16.082,0.152,236.8,0
15:13.7,16.063,0.152,236.8,0
15:14.4,16.063,0.152,236.8,0
15:15.8,16.025,0.152,236.8,0
15:16.5,16.139,0.152,236.8,0
15:17.9,15.873,0.153,236.8,0
15:18.6,16.044,0.153,235,0
15:20.0,15.949,0.151,235,0
15:20.7,15.949,0.151,235,0
15:21.4,16.082,0.151,235,0
15:22.8,15.873,0.152,235,0
15:23.5,15.873,0.152,235,0
15:25.0,15.949,0.152,235,0
15:25.6,15.949,0.152,235,0
15:26.3,16.006,0.152,235,0
15:27.7,16.082,0.152,235,0
15:28.4,16.082,0.152,235,0
15:29.8,16.082,0.152,235,0
15:30.5,15.987,0.152,235,0
15:31.9,16.025,0.152,235,0
15:32.6,16.006,0.152,235,0
15:33.9,16.006,0.152,235,0
15:34.6,16.006,0.152,235,0
15:35.3,15.968,0.152,235,0
15:36.7,15.968,0.153,236.8,0
15:37.4,15.968,0.153,236.8,0
15:38.8,16.044,0.153,236.8,0
15:39.5,16.025,0.153,236.8,0
15:40.8,16.044,0.151,236.8,0
15:41.5,15.987,0.151,236.8,0
15:42.9,15.93,0.152,236.8,0
15:43.6,15.93,0.152,236.8,0
15:45.0,15.987,0.152,236.8,0
15:45.7,16.082,0.152,235,0
15:46.4,16.082,0.152,235,0
15:47.9,16.006,0.152,235,0
15:48.6,16.006,0.152,235,0
15:49.9,16.044,0.152,235,0
15:50.6,15.987,0.152,235,0
15:52.0,16.063,0.151,235,0
15:52.7,16.063,0.151,235,0
15:53.6,16.082,0.151,235,0
15:55.0,16.006,0.152,235,0
