meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/belt_speed
32:09.6,17.506,0.17,233.1,40
32:10.3,17.601,0.167,233.1,40
32:11.7,17.544,0.167,233.1,40
32:12.4,17.544,0.169,233.1,40
32:13.8,17.582,0.169,233.1,40
32:14.5,17.582,0.171,233.1,40
32:15.9,17.468,0.171,233.1,40
32:16.6,17.715,0.173,233.1,40
32:18.0,17.696,0.173,235,40
32:18.7,17.525,0.173,235,40
32:19.4,17.525,0.171,235,40
32:20.8,17.734,0.171,235,40
32:21.4,17.734,0.172,235,40
32:22.8,17.544,0.172,236.8,40
32:23.5,17.563,0.168,236.8,40
32:24.9,17.601,0.168,235,40
32:25.6,17.544,0.168,235,40
32:27.0,17.601,0.168,235,40
32:27.7,17.506,0.169,235,40
32:28.4,17.506,0.169,235,40
32:29.8,17.563,0.175,235,40
32:30.5,17.544,0.175,235,40
32:31.9,17.449,0.175,235,40
32:32.5,17.582,0.173,235,40
32:33.9,17.658,0.173,235,40
32:34.6,17.393,0.172,235,40
32:35.3,17.393,0.172,235,40
32:36.7,17.62,0.172,235,40
32:37.4,17.696,0.172,235,40
32:38.8,17.449,0.169,235,40
32:39.5,17.62,0.169,235,40
32:40.9,17.563,0.173,235,40
32:41.6,17.639,0.173,235,40
32:42.3,17.639,0.173,235,40
32:43.7,17.544,0.169,235,40
32:44.4,17.544,0.169,235,40
32:45.8,17.639,0.168,235,40
32:46.5,17.658,0.168,235,40
32:47.9,17.146,0.171,235,40
32:48.6,17.715,0.171,235,40
32:50.0,17.639,0.173,235,40
32:50.7,17.639,0.173,235,40
32:51.4,17.525,0.173,235,40
32:52.8,17.734,0.174,235,40
32:53.4,17.411,0.174,235,40
32:54.2,17.411,0.172,235,40
32:55.9,17.677,0.172,236.8,40
32:56.7,17.298,0.171,236.8,40
32:57.6,17.298,0.171,235,40
32:59.0,17.525,0.173,235,40
32:59.7,17.525,0.173,235,40
33:00.4,17.601,0.173,235,40
33:01.8,17.62,0.173,235,40
33:02.5,17.563,0.172,235,40
33:03.9,17.506,0.172,235,40
33:04.5,17.696,0.172,235,40
33:05.9,17.222,0.173,235,40
33:06.6,17.222,0.173,235,40
33:08.0,17.393,0.175,235,40
33:08.7,17.393,0.175,235,40
33:09.4,17.601,0.168,235,40
33:10.8,17.696,0.168,235,40
33:11.5,17.449,0.167,235,40
33:12.9,17.601,0.167,235,40
33:13.6,17.601,0.167,235,40
33:14.9,17.279,0.167,235,40
33:15.6,17.279,0.172,235,40
33:17.0,17.867,0.172,235,40
33:17.7,17.544,0.172,235,40
33:18.4,17.601,0.172,235,40
33:19.8,17.734,0.172,235,40
33:20.5,17.734,0.174,235,40
33:21.9,17.487,0.174,235,40
33:22.5,17.487,0.172,235,40
33:23.9,17.601,0.172,236.8,40
33:24.6,17.317,0.169,236.8,40
33:26.0,17.886,0.169,235,40
33:26.7,17.563,0.172,235,40
33:27.4,17.563,0.172,235,40
33:28.8,17.715,0.173,235,40
33:29.5,17.715,0.173,235,40
33:30.9,17.62,0.172,235,40
33:31.6,17.506,0.172,235,40
33:32.9,17.658,0.172,235,40
33:33.6,17.411,0.172,235,40
33:35.0,17.81,0.172,235,40
33:35.7,17.506,0.172,235,40
33:36.4,17.506,0.172,235,40
33:37.8,17.601,0.172,235,40
33:38.5,17.563,0.172,235,40
33:39.9,17.487,0.172,235,40
33:40.6,17.525,0.172,235,40
33:42.0,17.62,0.172,235,40
33:42.7,17.563,0.172,235,40
33:44.1,17.696,0.17,235,40
33:44.7,17.696,0.17,235,40
33:45.4,17.715,0.17,235,40
33:46.8,17.696,0.17,235,40
33:47.5,17.506,0.17,235,40
33:48.9,17.487,0.173,235,40
33:49.6,17.582,0.173,235,40
33:51.0,17.582,0.173,235,40
33:51.7,17.582,0.173,236.8,40
33:52.4,17.525,0.173,236.8,40
33:53.8,17.696,0.17,236.8,40
33:54.5,17.544,0.17,236.8,40
