meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/acceleration
49:18.1,16.386,0.154,235,10
49:18.8,16.386,0.152,235,10
49:19.5,16.291,0.152,235,10
49:20.9,16.291,0.154,235,10
49:21.6,16.291,0.154,235,10
49:23.0,16.424,0.154,235,10
49:23.7,16.424,0.154,235,10
49:25.1,16.462,0.154,235,10
49:25.8,16.557,0.158,235,10
49:26.5,16.557,0.158,235,10
49:27.9,16.557,0.159,235,10
49:28.6,16.519,0.159,235,10
49:30.0,16.538,0.159,235,10
49:30.6,16.348,0.159,235,10
49:32.0,16.329,0.159,235,10
49:32.7,16.329,0.159,235,10
49:34.1,16.367,0.159,235,10
49:34.9,16.367,0.16,235,10
49:35.6,16.367,0.16,235,10
49:37.0,16.386,0.155,235,10
49:37.7,16.386,0.155,235,10
49:38.3,16.386,0.155,235,10
49:39.9,16.367,0.154,235,10
49:40.5,16.31,0.154,235,10
49:41.2,16.31,0.155,235,10
49:43.0,16.329,0.155,235,10
49:43.7,16.329,0.155,235,10
49:45.1,16.5,0.155,235,10
49:45.7,16.595,0.156,235,10
49:47.1,16.671,0.156,235,10
49:47.9,16.576,0.16,235,10
49:48.6,16.576,0.16,235,10
49:50.0,16.405,0.16,235,10
49:50.7,16.367,0.16,235,10
49:51.7,16.481,0.16,235,10
49:52.7,16.253,0.158,235,10
49:53.4,16.253,0.158,235,10
49:55.0,16.367,0.158,235,10
49:55.9,16.386,0.158,235,10
49:56.7,16.443,0.158,235,10
49:57.5,16.595,0.158,235,10
49:59.1,16.595,0.16,235,10
49:59.8,16.595,0.16,235,10
50:00.5,16.481,0.16,235,10
50:01.9,16.291,0.159,235,10
50:02.6,16.348,0.159,235,10
50:03.5,16.348,0.155,235,10
50:04.3,16.557,0.155,235,10
50:05.9,16.519,0.155,235,10
50:06.7,16.462,0.155,235,10
50:07.8,16.519,0.154,235,10
50:08.5,16.519,0.154,235,10
50:09.4,16.405,0.154,235,10
50:10.2,16.557,0.154,235,10
50:12.1,16.386,0.154,235,10
50:12.8,16.215,0.157,235,10
50:13.5,16.215,0.157,235,10
50:14.9,16.5,0.157,235,10
50:15.6,16.5,0.157,235,10
50:17.0,16.405,0.157,235,10
50:17.7,16.481,0.157,235,10
50:19.1,16.595,0.159,235,10
50:19.8,16.614,0.159,235,10
50:20.5,16.614,0.159,235,10
50:21.9,16.519,0.158,235,10
50:22.6,16.386,0.158,235,10
50:24.0,16.329,0.159,235,10
50:24.7,16.462,0.159,235,10
50:26.1,16.5,0.158,235,10
50:26.8,16.5,0.158,235,10
50:27.5,16.386,0.158,235,10
50:28.9,16.405,0.157,235,10
50:29.6,16.405,0.157,235,10
50:31.1,16.386,0.157,235,10
50:31.7,16.386,0.157,235,10
50:32.4,16.234,0.157,235,10
50:33.6,16.234,0.157,235,10
50:34.9,16.595,0.158,235,10
50:35.6,16.595,0.158,235,10
50:37.2,16.595,0.159,235,10
50:37.8,16.595,0.159,235,10
50:38.5,16.576,0.159,235,10
50:39.9,16.348,0.159,235,10
50:40.6,16.348,0.159,235,10
50:42.0,16.424,0.157,235,10
50:42.7,16.424,0.157,235,10
50:43.5,16.481,0.158,235,10
50:45.1,16.386,0.158,235,10
50:46.1,16.234,0.158,235,10
50:46.9,16.234,0.158,235,10
50:47.7,16.348,0.158,235,10
50:48.5,16.538,0.159,235,10
50:50.2,16.519,0.159,235,10
50:50.9,16.367,0.159,235,10
50:51.6,16.367,0.159,235,10
50:53.0,16.5,0.157,235,10
50:53.7,16.348,0.157,235,10
50:54.4,16.462,0.158,235,10
50:56.0,16.348,0.158,235,10
50:56.7,16.348,0.157,235,10
