meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/velocity
21:33.2,16.367,0.153,235,10
21:34.6,16.443,0.153,235,10
21:35.3,16.386,0.153,235,10
21:36.0,16.367,0.152,235,10
21:37.4,16.348,0.152,235,10
21:38.1,16.348,0.153,235,10
21:38.8,16.215,0.153,235,10
21:40.6,16.538,0.153,235,10
21:41.3,16.652,0.153,235,10
21:42.4,16.329,0.157,235,10
21:43.1,16.329,0.157,235,10
21:44.5,16.443,0.152,235,10
21:45.2,16.443,0.152,235,10
21:46.6,16.329,0.152,235,10
21:47.3,16.253,0.152,235,10
21:48.7,16.367,0.152,235,10
21:49.4,16.367,0.152,235,10
21:50.1,16.405,0.152,236.8,10
21:51.5,16.348,0.152,236.8,10
21:52.2,16.405,0.152,235,10
21:53.5,16.5,0.152,235,10
21:54.2,16.5,0.156,235,10
21:55.6,16.614,0.156,235,10
21:56.3,16.557,0.158,235,10
21:57.0,16.31,0.158,236.8,10
21:58.4,16.291,0.156,236.8,10
21:59.1,16.291,0.156,236.8,10
22:00.6,16.272,0.156,236.8,10
22:01.3,16.291,0.156,235,10
22:02.7,16.386,0.157,235,10
22:03.4,16.424,0.157,235,10
22:04.0,16.424,0.157,235,10
22:05.4,16.443,0.158,235,10
22:06.1,16.519,0.158,235,10
22:07.5,16.5,0.157,235,10
22:08.2,16.405,0.157,235,10
22:09.6,16.386,0.156,235,10
22:10.3,16.386,0.156,235,10
22:11.7,16.215,0.156,235,10
22:12.4,16.405,0.156,235,10
22:13.0,16.405,0.156,235,10
22:14.5,16.329,0.156,235,10
22:15.2,16.329,0.156,235,10
22:16.6,16.348,0.156,235,10
22:17.2,16.443,0.156,235,10
22:18.6,16.424,0.156,235,10
22:19.3,16.386,0.156,235,10
22:20.7,16.538,0.158,235,10
22:21.4,16.538,0.158,235,10
22:22.1,16.481,0.158,235,10
22:23.5,16.31,0.156,235,10
22:24.2,16.31,0.156,235,10
22:25.6,16.386,0.157,235,10
22:26.3,16.386,0.157,235,10
22:27.7,16.5,0.152,235,10
22:28.4,16.329,0.152,236.8,10
22:29.7,16.329,0.152,236.8,10
22:30.4,16.424,0.154,236.8,10
22:31.1,16.424,0.154,236.8,10
22:32.5,16.367,0.155,235,10
22:33.2,16.31,0.155,235,10
22:34.6,16.671,0.157,235,10
22:35.3,16.671,0.157,235,10
22:36.7,16.633,0.157,235,10
22:37.3,16.633,0.157,235,10
22:38.7,16.367,0.156,235,10
22:39.4,16.272,0.156,235,10
22:40.1,16.272,0.156,235,10
22:41.5,16.386,0.156,235,10
22:42.2,16.405,0.156,235,10
22:43.6,16.234,0.156,235,10
22:44.2,16.5,0.156,235,10
22:45.7,16.443,0.153,235,10
22:46.4,16.443,0.153,235,10
22:47.1,16.557,0.153,235,10
22:48.5,16.443,0.153,235,10
22:49.2,16.348,0.153,235,10
22:50.6,16.367,0.157,235,10
22:51.3,16.367,0.157,235,10
22:52.7,16.31,0.156,235,10
22:53.4,16.31,0.156,235,10
22:54.1,16.253,0.156,235,10
22:55.5,16.462,0.156,235,10
22:56.2,16.462,0.156,235,10
22:57.6,16.348,0.157,235,10
22:58.3,16.348,0.157,235,10
22:59.6,16.31,0.157,235,10
23:00.3,16.424,0.157,235,10
23:01.7,16.5,0.158,235,10
23:02.5,16.5,0.158,235,10
23:03.2,16.652,0.157,235,10
23:04.5,16.234,0.157,235,10
23:05.2,16.424,0.157,235,10
23:06.6,16.5,0.157,235,10
23:07.3,16.5,0.157,235,10
23:08.7,16.5,0.158,235,10
23:09.4,16.348,0.158,235,10
23:10.1,16.329,0.157,235,10
23:11.5,16.424,0.157,235,10
23:12.2,16.424,0.158,235,10
23:13.6,16.272,0.158,235,10
23:14.3,16.595,0.158,235,10
23:15.7,16.614,0.158,235,10
23:16.4,16.538,0.158,235,10
23:17.1,16.538,0.158,235,10
23:18.5,16.538,0.158,235,10
23:19.2,16.462,0.158,235,10
23:20.6,16.31,0.158,235,10
23:21.3,16.158,0.157,235,10
23:22.7,16.348,0.157,235,10
23:23.4,16.348,0.158,235,10
23:24.8,16.291,0.158,235,10
23:25.4,16.519,0.159,235,10
23:26.1,16.481,0.159,236.8,10
23:27.6,16.31,0.159,236.8,10
23:28.3,16.31,0.159,235,10
23:29.0,16.557,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:29.8,16.424,0.159,235,10
23:41.7,16.424,0.158,235,10
23:42.4,16.557,0.158,235,10
23:43.3,16.557,0.156,235,10
23:44.1,16.5,0.156,235,10
23:45.7,16.443,0.159,235,10
23:46.4,16.443,0.159,235,10
23:47.1,16.386,0.159,235,10
23:47.8,16.386,0.159,235,10
23:49.5,16.405,0.159,235,10
23:50.2,16.215,0.158,235,10
23:51.6,16.234,0.158,235,10
23:52.3,16.31,0.159,235,10
23:53.7,16.424,0.159,235,10
23:54.3,16.424,0.157,235,10
23:55.7,16.424,0.157,235,10
23:56.4,16.519,0.16,235,10
23:57.1,16.614,0.16,235,10
