meross/sample_timestamp,meross/power,meross/current,meross/voltage
45:03.3,16.253,0.153,235
45:03.3,16.253,0.153,235
45:03.3,16.253,0.153,235
45:05.7,16.348,0.154,235
45:06.9,16.405,0.153,235
45:07.9,16.234,0.153,235
45:08.7,16.405,0.153,235
45:09.5,16.405,0.153,235
45:11.2,16.329,0.154,235
45:12.2,16.329,0.154,235
45:12.9,16.367,0.154,235
45:14.3,16.31,0.154,235
45:15.0,16.177,0.154,235
45:15.9,16.177,0.153,235
45:16.8,16.31,0.153,235
45:18.3,16.272,0.153,235
45:19.4,16.272,0.153,235
45:20.1,16.329,0.153,235
45:20.1,16.329,0.153,235
45:21.4,16.405,0.153,235
45:22.8,16.31,0.153,235
45:23.5,16.234,0.153,235
45:24.7,16.234,0.153,235
45:25.6,16.348,0.153,235
45:26.9,16.291,0.153,235
45:26.9,16.291,0.153,235
45:29.2,16.291,0.152,236.8
45:30.0,16.348,0.152,235
45:30.9,16.348,0.152,235
45:30.9,16.348,0.152,235
45:33.3,16.348,0.153,236.8
45:33.3,16.348,0.153,236.8
45:34.6,16.348,0.153,235
45:36.1,16.329,0.153,235
45:36.9,16.31,0.154,235
45:38.4,16.443,0.153,235
45:39.2,16.443,0.153,235
45:39.9,16.386,0.153,235
45:41.2,16.386,0.153,235
45:42.4,16.367,0.153,235
45:43.2,16.291,0.154,235
45:44.0,16.291,0.154,235
45:44.7,16.367,0.153,235
45:45.5,16.367,0.153,235
45:46.5,16.348,0.153,235
45:48.0,16.462,0.153,235
45:48.8,16.291,0.153,235
45:48.8,16.291,0.153,235
45:48.8,16.291,0.153,235
45:51.9,16.291,0.153,235
45:52.6,16.424,0.153,235
45:54.2,16.291,0.152,235
45:55.0,16.329,0.152,236.8
45:56.0,16.253,0.152,236.8
45:56.7,16.253,0.152,235
45:58.1,16.215,0.153,235
45:59.2,16.215,0.153,235
46:00.0,16.367,0.153,235
46:00.9,16.367,0.153,235
46:01.6,16.367,0.153,235
46:02.8,16.291,0.153,235
46:03.6,16.234,0.152,235
46:05.3,16.291,0.152,235
46:06.1,16.291,0.152,235
46:06.8,16.348,0.152,235
46:08.3,16.31,0.152,235
46:09.2,16.31,0.152,235
46:09.2,16.31,0.152,235
46:10.7,16.253,0.153,235
46:11.9,16.386,0.153,235
46:12.6,16.31,0.152,235
46:14.3,16.329,0.153,235
46:15.0,16.443,0.153,235
46:15.9,16.272,0.153,235
46:16.8,16.272,0.152,235
46:17.8,16.291,0.152,235
46:17.8,16.291,0.152,235
46:20.3,16.424,0.153,235
46:21.1,16.405,0.153,236.8
46:21.9,16.424,0.153,235
46:22.7,16.424,0.153,235
46:23.5,16.291,0.153,235
46:24.6,16.405,0.153,236.8
46:25.6,16.253,0.153,236.8
46:27.4,16.348,0.154,236.8
46:27.4,16.348,0.154,236.8
46:29.4,16.234,0.154,235
46:30.2,16.234,0.153,235
46:31.0,16.405,0.153,235
46:31.8,16.348,0.153,235
46:33.4,16.196,0.153,235
46:34.2,16.424,0.153,235
46:34.2,16.424,0.153,235
46:35.4,16.424,0.153,235
46:36.6,16.329,0.154,235
46:37.4,16.253,0.154,236.8
46:38.8,16.329,0.154,236.8
46:40.3,16.386,0.153,235
46:41.0,16.386,0.153,235
46:41.0,16.386,0.153,235
46:42.9,16.234,0.153,236.8
46:43.7,16.31,0.153,236.8
46:44.8,16.196,0.153,236.8
46:46.2,16.329,0.153,235
46:47.3,16.367,0.153,235
46:48.1,16.367,0.153,235
46:48.8,16.367,0.153,235
46:48.8,16.367,0.153,235
46:48.8,16.367,0.153,235
46:51.8,16.348,0.153,235
46:52.6,16.329,0.154,236.8
46:54.4,16.405,0.153,235
