cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
1.2,60,60,60,homing,,,,homing,,,,,,134.3997345,-3.06366539,1.281204224,-1.305841088,-1.705841064,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,,,,,123.8339081,-52.32434082,1.281204224,-22.90582848,-23.30582809,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,,,,,99.73804474,-90.13876343,1.281204224,-42.10585785,-42.50585938,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:36.1,16.69,0.159,235,64.54646301,-117.9255219,1.281204224,-61.30593109,-61.70593262,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:36.8,16.576,0.159,235,16.60230827,-133.4055328,1.281204224,-82.90601349,-83.30601501,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:38.2,16.652,0.158,235,-28.19396591,-131.4449463,1.281204224,-102.1060867,-102.5060883,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:38.9,16.652,0.158,235,-69.05015564,-115.3462143,1.281204224,-120.9061584,-121.30616,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:40.3,16.823,0.159,235,-96.35472107,-93.74668121,1.281204224,-135.7859955,-135.7659912,5.284522533,64.924263,0
1.2,60,60,60,homing,,,,homing,,19:40.9,16.823,0.159,235,-95.13223267,-94.99648285,1.281936646,-135.0409088,-135.0169067,5.289982319,64.9210968,0
1.2,60,60,60,homing,,,,homing,,19:42.4,16.747,0.158,235,-72.08171844,-123.0919342,2.136184692,-120.3529129,-119.7529144,7.604879856,63.57788467,0
1.2,60,60,60,homing,,,,homing,,19:43.1,16.709,0.158,235,6.066291332,-169.7241364,4.023658752,-87.9529953,-87.35299683,15.2211132,59.15859604,0
1.2,60,60,60,homing,,,,homing,,19:44.4,16.709,0.158,235,106.1033783,-177.6590576,4.110404968,-59.15306854,-58.55307007,26.03911972,52.8814888,0
