cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
32,100,100,60,homing,,,,homing,,,,,,110.7971802,-5.572749138,8.983757019,-2.879370689,-3.279370785,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,,,,,102.8015594,-41.70025253,8.983757019,-22.07935905,-22.47935867,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,,,,,83.36950684,-73.18877411,8.983757019,-41.27938461,-41.67938614,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:14.8,16.538,0.155,236.8,50.5722847,-98.73963165,8.983757019,-62.87946701,-63.27946854,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:15.5,16.538,0.155,236.8,15.28694725,-109.8789368,8.983757019,-82.07953644,-82.47953796,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:16.9,16.519,0.156,236.8,-21.69902039,-108.7944183,8.983757019,-101.2796097,-101.6796112,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:17.6,16.519,0.156,236.8,-60.22525787,-93.16645813,8.983757019,-122.8796921,-123.2796936,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:19.0,16.652,0.156,236.8,-87.51442719,-68.17842102,8.983757019,-142.0794983,-142.4794922,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:19.7,16.348,0.157,236.8,-92.59361267,-61.10231018,8.983757019,-146.5792694,-146.5592651,-12.71200943,56.58906174,0
32,100,100,60,homing,,,,homing,,20:21.0,16.595,0.157,236.8,-77.33340454,-80.66249084,9.22428894,-133.7929077,-133.612915,-12.37946892,56.5152092,0
32,100,100,60,homing,,,,homing,,20:21.7,16.595,0.157,236.8,-48.34348297,-116.4071732,12.92340088,-112.5529327,-111.9529343,-7.125347614,55.348423,0
32,100,100,60,homing,,,,homing,,20:23.1,16.69,0.157,236.8,17.23750687,-157.4709625,17.49680328,-83.75300598,-83.15300751,4.513530254,52.7637558,0
32,100,100,60,homing,,,,homing,,20:23.8,16.69,0.158,236.8,130.4912262,-163.1893463,14.02791595,-51.35308838,-50.7530899,23.0732975,48.64215851,0
32,100,100,60,homing,,,,homing,,20:24.5,16.709,0.158,236.8,219.4127045,-91.12219238,5.528297424,-22.5531311,-21.95313072,34.45787048,46.11397171,0
32,100,100,60,homing,,,,homing,,20:25.9,16.557,0.158,236.8,249.2830505,-5.552963734,0.32409668,-1.276094675,-1.107036591,39.45768738,45.00365067,0
32,100,100,60,homing,,,,homing,,20:26.6,16.557,0.158,236.8,249.9999847,0,-7.63E-06,0,0,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:28.0,16.481,0.158,236.8,249.9999847,0,-7.63E-06,0,0,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:28.6,16.481,0.155,236.8,249.9999847,0,-7.63E-06,0,0,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:30.0,16.386,0.155,236.8,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:30.7,16.329,0.154,236.8,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:32.1,16.443,0.154,236.8,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:32.8,16.443,0.156,236.8,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:33.5,16.31,0.156,236.8,249.9999847,0.00017966,-7.63E-06,4.12E-05,4.12E-05,39.71385956,44.94676971,0
32,100,100,60,homing,,,,homing,,20:34.9,16.424,0.155,236.8,251.1135254,4.37590313,2.830596924,4.12E-05,1.178891301,39.13766861,43.602211,-1.178850174
32,100,100,60,homing,,,,homing,,20:35.6,16.348,0.155,236.8,273.5713806,97.1013031,61.28165436,4.20E-05,19.68617249,41.48500443,15.5123415,-19.68613052
32,100,100,60,go_to_pick_up_from_homing,nothing,,,go_to_pick_up_from_homing,,20:37.0,17.127,0.158,236.8,292.5946655,106.5496368,84.62099457,-1.91E-06,20.00475502,50.92360687,0.121562302,-20.00475693
32,100,100,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,20:37.6,17.127,0.158,236.8,292.822052,106.5785141,84.95825195,0,20,51,0,-20
32,100,100,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,20:39.0,16.367,0.158,236.8,292.822052,106.5785141,84.95825195,0,20,51,0,-20
32,100,100,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,20:39.7,16.367,0.157,236.8,292.822052,106.5785141,84.95825195,0,20,51,0,-20
32,100,100,60,moving_belt,nothing,FALSE,TRUE,go_to_pick_up_from_homing,,20:41.1,16.196,0.157,236.8,292.822052,106.5785141,84.95825195,0,20,51,0,-20
32,100,100,60,go_to_pick_down,nothing,TRUE,FALSE,joint 3 +,,20:41.8,16.215,0.156,236.8,290.6729431,105.7963104,59.12882614,0,20,51,11.03999996,-20
32,100,100,60,go_to_pick_up_from_pick_down,nothing,TRUE,FALSE,joint 3 -,TRUE,20:43.2,16.196,0.156,236.8,289.4106445,105.3368607,52.49071121,0,20,51,11.8799963,-20
32,100,100,60,go_to_color_detect_up_from_pick_up,nothing,TRUE,FALSE,joint 1 +,TRUE,20:43.9,23.564,0.212,236.8,276.1540527,144.369873,84.95825195,7.600002289,28.40000153,51,0,-20
32,100,100,60,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,TRUE,20:44.6,22.69,0.212,236.8,131.6935272,282.4176636,84.34249878,45,65,51,0.399999917,-20
32,100,100,60,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,TRUE,20:46.0,22.291,0.203,236.8,115.9743576,248.7077942,-12.77654266,45,65,51,42.36306,-20
32,100,100,60,go_to_color_detect_up_from_color_detect_down,nothing,TRUE,FALSE,joint 3 -,FALSE,20:46.7,22.272,0.203,236.8,121.09729,259.6939697,2.842002869,45,65,51,32.88000107,-20
32,100,100,60,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,20:48.2,16.785,0.162,236.8,131.6940765,282.4188232,84.95825195,45,65,51,-4.66E-10,-20
32,100,100,60,detecting_color,nothing,FALSE,FALSE,detecting_color,FALSE,20:48.9,16.424,0.162,236.8,131.6940765,282.4188232,84.95825195,45,65,51,-4.66E-10,-20
32,100,100,60,go_to_color_detect_down,nothing,TRUE,FALSE,joint 3 +,FALSE,20:49.6,16.424,0.162,236.8,125.1656494,268.4185791,19.36129761,45,65,51,27.7938385,-20
32,100,100,60,go_to_color_detect_up_from_color_detect_down,nothing,TRUE,FALSE,joint 3 -,TRUE,20:51.0,16.177,0.155,236.8,113.2212372,242.8037109,-19.63748932,45,65,51,44.87999725,-20
32,100,100,60,go_to_color_detect_up_from_color_detect_down,nothing,TRUE,FALSE,joint 3 -,TRUE,20:51.6,16.823,0.155,236.8,131.6932831,282.4171448,84.21349335,45,65,51,0.159001812,-20
