`,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/pose_x,dobot/pose_y,dobot/pose_z,dobot/pose_rHead,dobot/pose_joint1Angle,dobot/pose_joint2Angle,dobot/pose_joint3Angle,dobot/pose_joint4Angle
32,100,20,60,homing,,,,homing,,,,,,132.8453522,-1.97767055,1.359848022,-0.852899969,-1.252899885,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,,,,,124.8056412,-45.55604935,1.359848022,-20.05289078,-20.4528904,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,,,,,99.27101135,-88.30101013,1.359848022,-41.65291595,-42.05291748,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,,,,,64.70977783,-116.0363922,1.359848022,-60.8529892,-61.25299072,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,54:57.9,16.443,0.15,236.8,22.94972801,-130.8629456,1.359848022,-80.05306244,-80.45306396,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,54:58.6,16.329,0.151,236.8,-26.83595085,-130.1215973,1.359848022,-101.6531448,-102.0531464,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,55:00.0,16.405,0.151,236.8,-68.13602448,-114.0582352,1.359848022,-120.8532181,-121.2532196,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,55:00.7,16.405,0.151,236.8,-96.68094635,-91.12955475,1.359848022,-136.6930695,-136.6730652,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,55:01.4,16.253,0.15,236.8,-94.94572449,-92.93603516,1.359848022,-135.6128387,-135.5928345,4.658533573,64.96951294,0
32,100,20,60,homing,,,,homing,,55:03.0,16.31,0.15,236.8,-75.43738556,-117.8089752,2.13092041,-122.6329117,-122.0809097,6.66160202,63.82540894,0
32,100,20,60,homing,,,,homing,,55:03.7,16.253,0.15,236.8,-11.18500996,-161.8620911,3.923210144,-93.95298004,-93.35298157,12.93207836,60.24386597,0
32,100,20,60,homing,,,,homing,,55:05.1,16.519,0.15,236.8,96.83027649,-178.7337189,4.455291748,-61.55306244,-60.95306396,24.86705208,53.42690277,0
32,100,20,60,homing,,,,homing,,55:05.8,16.519,0.151,236.8,197.3708954,-124.0657501,2.320220947,-32.15313721,-31.55313683,34.13624191,48.13256836,0
32,100,20,60,homing,,,,homing,,55:07.1,16.462,0.151,236.8,246.3302765,-24.20942497,0.398033142,-5.613023281,-5.251965523,38.90252304,45.41017914,0
32,100,20,60,homing,,,,homing,,55:07.8,16.462,0.15,236.8,249.9999847,0,-7.63E-06,0,0,39.71385956,44.94676971,0
32,100,20,60,homing,,,,homing,,55:08.5,16.101,0.15,236.8,249.9999847,0,-7.63E-06,0,0,39.71385956,44.94676971,0
